round_epochs,loss,metric,val_loss,val_metric,activation,batch_size,hidden_activations,loss,optimizer,units
200,0.009994901716709137,0.009,0.009997829794883728,0.01,sigmoid,2000,relu,mse,adagrad,120
200,0.009995263069868088,0.011,0.009997905790805816,0.01,sigmoid,2000,relu,mse,adagrad,240
200,4.003993988037109,0.0955,4.155749416351318,0.0834,sigmoid,2000,relu,categorical_crossentropy,adam,120
200,3.939706325531006,0.118,4.1446412086486815,0.1089,sigmoid,2000,relu,categorical_crossentropy,adam,240
200,4.292786121368408,0.0255,4.317999267578125,0.0305,sigmoid,2000,relu,categorical_crossentropy,adagrad,120
200,4.2290873527526855,0.0585,4.272516441345215,0.05639999999999999,sigmoid,2000,relu,categorical_crossentropy,adagrad,240
200,0.009900124743580818,0.0115,0.009900003857910632,0.009999999999999998,sigmoid,2000,sigmoid,mse,adam,120
200,0.00990026444196701,0.005,0.009900013357400895,0.009999999999999998,sigmoid,2000,sigmoid,mse,adam,240
200,0.010078083723783493,0.0105,0.010079498402774334,0.01,sigmoid,2000,sigmoid,mse,adagrad,120
200,0.009918498806655407,0.006,0.009918930754065514,0.01,sigmoid,2000,sigmoid,mse,adagrad,240
200,4.280377388000488,0.021,4.37757568359375,0.017300000000000003,sigmoid,2000,sigmoid,categorical_crossentropy,adam,120
200,4.208076000213623,0.0275,4.297693920135498,0.0304,sigmoid,2000,sigmoid,categorical_crossentropy,adam,240
200,4.440380573272705,0.0175,4.447520732879639,0.0195,sigmoid,2000,sigmoid,categorical_crossentropy,adagrad,120
200,4.398163318634033,0.0175,4.416355895996094,0.0189,sigmoid,2000,sigmoid,categorical_crossentropy,adagrad,240
