round_epochs,loss,metric,val_loss,val_metric,activation,batch_size,hidden_activations,loss,optimizer,units
200,0.005875229369848967,0.522,0.010590601246803999,0.2044,softmax,1000,relu,mse,adam,120
200,0.0036062728613615036,0.732,0.01176133956760168,0.19690000000000002,softmax,1000,relu,mse,adam,240
200,0.00936636608093977,0.132,0.009381441492587328,0.136,softmax,1000,relu,mse,adagrad,120
200,0.009148038923740387,0.184,0.009192722477018833,0.1698,softmax,1000,relu,mse,adagrad,240
200,1.724458932876587,0.537,4.961796283721924,0.20620000000000002,softmax,1000,relu,categorical_crossentropy,adam,120
200,0.13011319935321808,0.965,14.708607959747315,0.19949999999999998,softmax,1000,relu,categorical_crossentropy,adam,240
200,3.6548991203308105,0.144,3.701982927322388,0.1423,softmax,1000,relu,categorical_crossentropy,adagrad,120
200,3.420880079269409,0.182,3.5064302921295165,0.1771,softmax,1000,relu,categorical_crossentropy,adagrad,240
200,0.00943086203187704,0.103,0.009642977546900511,0.08669999999999999,softmax,1000,sigmoid,mse,adam,120
200,0.009735018014907837,0.048,0.009758570324629545,0.0538,softmax,1000,sigmoid,mse,adam,240
200,0.009801792912185192,0.04,0.00980576304718852,0.04069999999999999,softmax,1000,sigmoid,mse,adagrad,120
200,0.009737853892147541,0.07,0.009763625636696815,0.0505,softmax,1000,sigmoid,mse,adagrad,240
200,3.4127771854400635,0.167,4.0326772928237915,0.1022,softmax,1000,sigmoid,categorical_crossentropy,adam,120
200,2.6529810428619385,0.315,4.241757345199585,0.14020000000000002,softmax,1000,sigmoid,categorical_crossentropy,adam,240
200,4.219826698303223,0.033,4.270512247085572,0.032600000000000004,softmax,1000,sigmoid,categorical_crossentropy,adagrad,120
200,4.122296333312988,0.052,4.2082901954650875,0.038900000000000004,softmax,1000,sigmoid,categorical_crossentropy,adagrad,240
200,0.0065359617583453655,0.4585,0.01006723176687956,0.20800000000000002,softmax,2000,relu,mse,adam,120
200,0.0033435330260545015,0.731,0.01140321120619774,0.20139999999999997,softmax,2000,relu,mse,adam,240
200,0.009464079514145851,0.1125,0.009505334310233593,0.1049,softmax,2000,relu,mse,adagrad,120
200,0.009198933839797974,0.1665,0.00926878284662962,0.153,softmax,2000,relu,mse,adagrad,240
