round_epochs,loss,accuracy,val_loss,val_accuracy,activation,batch_size,hidden_activations,loss,optimizer,units
200,2.909769296646118,0.2573600113391876,3.9994592666625977,0.13729999959468842,sigmoid,1000,sigmoid,categorical_crossentropy,adam,120
200,2.11397647857666,0.4364199936389923,4.488266468048096,0.15479999780654907,sigmoid,1000,sigmoid,categorical_crossentropy,adam,240
200,4.605203628540039,0.009279999881982803,4.605160713195801,0.00839999970048666,sigmoid,1000,sigmoid,categorical_crossentropy,adagrad,120
200,4.605247497558594,0.00930000003427267,4.605161190032959,0.012600000016391277,sigmoid,1000,sigmoid,categorical_crossentropy,adagrad,240
200,0.009999791160225868,0.010200000368058681,0.010000167414546013,0.009999999776482582,sigmoid,2000,relu,mse,adam,120
200,0.00999996718019247,0.009859999641776085,0.01000003982335329,0.009999999776482582,sigmoid,2000,relu,mse,adam,240
200,0.011019979603588581,0.008999999612569809,0.010979768820106983,0.009700000286102295,sigmoid,2000,relu,mse,adagrad,120
200,0.010734857991337776,0.009220000356435776,0.010700360871851444,0.010200000368058681,sigmoid,2000,relu,mse,adagrad,240
200,1.635896921157837,0.5705000162124634,4.785510063171387,0.2125999927520752,sigmoid,2000,relu,categorical_crossentropy,adam,120
200,0.04354523494839668,0.9953200221061707,14.819612503051758,0.20239999890327454,sigmoid,2000,relu,categorical_crossentropy,adam,240
200,4.1407904624938965,0.06960000097751617,4.149982452392578,0.0649000033736229,sigmoid,2000,relu,categorical_crossentropy,adagrad,120
200,3.937413454055786,0.10458000004291534,3.955582857131958,0.10249999910593033,sigmoid,2000,relu,categorical_crossentropy,adagrad,240
200,0.009900061413645744,0.008919999934732914,0.009900003671646118,0.009999999776482582,sigmoid,2000,sigmoid,mse,adam,120
200,0.009900164790451527,0.009159999899566174,0.009900018572807312,0.009999999776482582,sigmoid,2000,sigmoid,mse,adam,240
200,0.08445360511541367,0.009999999776482582,0.08423501253128052,0.009999999776482582,sigmoid,2000,sigmoid,mse,adagrad,120
200,0.04195056110620499,0.009999999776482582,0.041837602853775024,0.009999999776482582,sigmoid,2000,sigmoid,mse,adagrad,240
200,3.186335563659668,0.20000000298023224,3.99601674079895,0.11270000040531158,sigmoid,2000,sigmoid,categorical_crossentropy,adam,120
200,2.5324180126190186,0.34251999855041504,4.319500923156738,0.13429999351501465,sigmoid,2000,sigmoid,categorical_crossentropy,adam,240
200,4.605201721191406,0.009999999776482582,4.605179786682129,0.009999999776482582,sigmoid,2000,sigmoid,categorical_crossentropy,adagrad,120
200,4.6052117347717285,0.009019999764859676,4.605160713195801,0.007899999618530273,sigmoid,2000,sigmoid,categorical_crossentropy,adagrad,240
